"Story","Title","Result","Date","Stability","Duration (s)"
"Información de usuario","Creacion de identificador de usuario","SUCCESS","2022-03-24T17:47:38.739-05:00[America/Bogota]","0.0","14.76"
"Información de usuario","obtener información del primer usuario","SUCCESS","2022-03-24T17:47:53.547-05:00[America/Bogota]","0.0","2.76"
"Manipulacion de usuario","Actualizacion de datos","SUCCESS","2022-03-24T17:48:05.809-05:00[America/Bogota]","0.0","1.4"
"Manipulacion de usuario","Borrado de datos","SUCCESS","2022-03-24T17:48:07.209-05:00[America/Bogota]","0.0","0.9"
