"Story","Title","Result","Date","Stability","Duration (s)"
"Información de usuario","Creacion de identificador de usuario","SUCCESS","2022-03-25T17:12:04.493-05:00[America/Bogota]","0.0","14.32"
"Información de usuario","obtener información del primer usuario","SUCCESS","2022-03-25T17:12:18.844-05:00[America/Bogota]","0.0","2.57"
