"Story","Title","Result","Date","Stability","Duration (s)"
"Información de usuario","Creacion de identificador de usuario","SUCCESS","2022-03-25T17:12:04.493-05:00[America/Bogota]","0.0","14.32"
"Información de usuario","obtener información del primer usuario","SUCCESS","2022-03-25T17:12:18.844-05:00[America/Bogota]","0.0","2.57"
"Manipulacion de usuario","Actualizacion de datos","SUCCESS","2022-03-25T17:12:56.268-05:00[America/Bogota]","0.0","7.91"
"Manipulacion de usuario","Borrado de datos","SUCCESS","2022-03-25T17:13:04.198-05:00[America/Bogota]","0.0","1.13"
